Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
276,COMPLETE,0.14091064,relu,sigmoid,tanh,,,68,680,30,k-means++,lambda,0.0005158952713321083,huber_loss,50,4,40,3,20,52,56,,,RMSprop,29
277,COMPLETE,0.46552566,relu,relu,tanh,,,70,660,29,random,lambda,0.000434748349104462,huber_loss,50,4,40,3,20,10,56,,,RMSprop,31
278,COMPLETE,0.67706583,relu,sigmoid,tanh,,,70,650,31,random_from_data,lambda,0.000602745984311969,huber_loss,50,4,40,3,20,8,58,,,RMSprop,34
279,COMPLETE,0.71367431,relu,sigmoid,tanh,,,66,700,31,random_from_data,lambda,0.0005564733159055925,huber_loss,50,4,40,3,22,62,58,,,RMSprop,33
280,COMPLETE,0.38281757,relu,sigmoid,tanh,,,66,700,30,random_from_data,lambda,0.0004968958967161019,huber_loss,50,4,40,3,22,58,58,,,RMSprop,34
281,COMPLETE,0.68901288,relu,sigmoid,tanh,,,68,660,31,random_from_data,lambda,0.0004524767097735165,huber_loss,50,4,40,3,22,54,26,,,RMSprop,37
282,COMPLETE,0.6975821,relu,sigmoid,tanh,,,68,680,27,random_from_data,lambda,0.00033065516157373156,huber_loss,50,4,40,3,20,62,58,,,RMSprop,37
283,COMPLETE,0.51071796,relu,sigmoid,tanh,,,68,680,27,random_from_data,,0.000347221559230194,huber_loss,50,4,40,3,24,32,24,,,RMSprop,37
284,COMPLETE,0.33583958,relu,sigmoid,tanh,,,66,720,27,random_from_data,lambda,0.00025913028083084414,huber_loss,50,4,40,3,22,62,58,,,Adam,35
285,COMPLETE,0.76230898,relu,sigmoid,tanh,,,68,700,32,random_from_data,lambda,0.0003530476267659485,huber_loss,50,4,40,3,20,58,26,,,RMSprop,32
286,COMPLETE,0.16995384,relu,sigmoid,tanh,,,64,690,31,random_from_data,lambda,0.0002934874583233173,huber_loss,50,4,40,3,20,56,26,,,RMSprop,33
287,COMPLETE,0.59653517,relu,sigmoid,tanh,,,66,660,25,random_from_data,lambda,0.00042346454701171226,mse_loss,60,4,40,3,22,62,26,,,RMSprop,37
288,COMPLETE,0.7690074,relu,sigmoid,tanh,,,68,730,28,random_from_data,lambda,0.00037900692262173187,huber_loss,50,4,40,3,24,58,30,,,RMSprop,32
289,COMPLETE,0.29154871,relu,sigmoid,tanh,relu,tanh,68,740,29,random_from_data,lambda,0.00033219689119165654,huber_loss,50,4,40,5,22,56,28,56,60,RMSprop,31
290,COMPLETE,0.70926704,relu,sigmoid,tanh,,,66,750,28,random_from_data,lambda,0.0003765204520168869,huber_loss,50,4,40,3,20,58,30,,,RMSprop,34
291,COMPLETE,0.73563135,relu,sigmoid,tanh,,,64,710,27,random_from_data,lambda,0.00023054381260321136,huber_loss,50,4,40,3,24,58,28,,,RMSprop,35
292,COMPLETE,0.59175588,relu,sigmoid,tanh,,,64,780,27,random_from_data,lambda,0.0003687173092592665,huber_loss,50,4,40,3,26,58,30,,,RMSprop,35
293,COMPLETE,-3.77105329,relu,,,,,66,760,24,random_from_data,lambda,0.00021732585015751173,huber_loss,50,4,40,1,24,,,,,RMSprop,32
294,COMPLETE,0.42488172,relu,sigmoid,tanh,,,64,700,28,random_from_data,lambda,0.00024273799885835077,huber_loss,50,4,40,3,20,58,28,,,RMSprop,34
295,COMPLETE,0.63468442,relu,sigmoid,tanh,,,68,730,31,random_from_data,lambda,0.0002867869896081941,huber_loss,50,4,40,3,24,56,32,,,RMSprop,38
296,COMPLETE,0.14344051,relu,sigmoid,tanh,,,66,710,28,random_from_data,lambda,0.00041363295660184444,huber_loss,50,4,40,3,28,60,30,,,RMSprop,31
297,COMPLETE,0.52242098,relu,sigmoid,tanh,,,62,740,26,random_from_data,lambda,0.0003454275783186605,huber_loss,50,4,40,3,22,62,26,,,Adam,35
298,COMPLETE,0.0157749,relu,sigmoid,tanh,,,64,720,29,random_from_data,lambda,0.00015795425902495182,huber_loss,60,4,40,3,24,58,32,,,RMSprop,33
299,COMPLETE,0.7624017,relu,sigmoid,tanh,,,68,750,24,random_from_data,lambda,0.00020894826768890919,huber_loss,50,4,40,3,26,56,30,,,RMSprop,30
