Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
157,COMPLETE,0.34245835,sigmoid,relu,relu,,,74,540,50,random,lambda,0.0020195149924723994,huber_loss,90,2,80,3,22,6,46,,,RMSprop,100
158,COMPLETE,0.32279244,sigmoid,relu,relu,,,68,630,40,random,lambda,0.0015938922368631714,huber_loss,100,2,70,3,24,6,52,,,RMSprop,96
159,COMPLETE,0.07463123,sigmoid,relu,relu,,,64,590,42,random,lambda,0.002482928718291708,huber_loss,80,3,80,3,28,8,50,,,RMSprop,91
160,COMPLETE,0.15312882,sigmoid,relu,sigmoid,,,72,550,49,random,lambda,0.003914219045362386,huber_loss,90,2,90,3,26,4,54,,,RMSprop,90
161,COMPLETE,0.09748578,relu,relu,relu,,,78,500,47,kmeans,lambda,0.0011237408073764394,huber_loss,90,5,80,3,32,8,56,,,RMSprop,86
162,COMPLETE,0.37684872,tanh,relu,relu,,,76,520,52,random,lambda,0.0006632039988075912,huber_loss,70,5,80,3,18,14,60,,,RMSprop,89
163,COMPLETE,0.43940351,relu,sigmoid,relu,,,78,460,64,kmeans,lambda,0.0014064913925655304,huber_loss,60,2,80,3,14,8,52,,,RMSprop,93
164,COMPLETE,0.60679348,sigmoid,relu,relu,,,74,540,34,random,lambda,0.000830115030042923,huber_loss,40,5,80,3,20,12,62,,,RMSprop,82
165,COMPLETE,0.77686941,sigmoid,relu,relu,,,74,570,34,random,lambda,0.001005087191794328,huber_loss,40,5,80,3,20,12,62,,,RMSprop,82
166,COMPLETE,0.12327684,sigmoid,relu,relu,,,70,600,37,random,lambda,0.0017420063416441292,huber_loss,40,2,70,3,20,12,62,,,RMSprop,95
167,COMPLETE,0.55574475,sigmoid,relu,relu,,,74,560,30,random,,0.0011527972156990108,huber_loss,90,5,80,3,22,60,58,,,RMSprop,85
168,COMPLETE,-0.49180285,sigmoid,relu,sigmoid,,,60,580,38,random,lambda,0.0047875352313878185,huber_loss,50,5,80,3,18,14,64,,,Adam,69
169,COMPLETE,0.12009486,sigmoid,relu,tanh,,,66,530,44,random,lambda,0.0009583393848236534,huber_loss,90,5,90,3,24,10,60,,,RMSprop,58
170,COMPLETE,-0.24803836,sigmoid,relu,relu,,,80,610,34,random_from_data,lambda,0.0005438361135358457,huber_loss,100,2,80,3,12,6,54,,,RMSprop,92
171,COMPLETE,0.65032869,sigmoid,relu,relu,,,74,550,35,random,lambda,0.0007696807409226718,huber_loss,40,5,80,3,20,12,62,,,RMSprop,75
172,COMPLETE,0.66906853,sigmoid,relu,relu,,,74,570,36,random,lambda,0.0006987285129103414,huber_loss,40,5,80,3,20,10,62,,,RMSprop,80
173,COMPLETE,0.42673665,sigmoid,relu,relu,,,72,570,39,random,lambda,0.0006789533948641916,huber_loss,40,5,80,3,22,12,62,,,RMSprop,80
174,COMPLETE,0.3519037,sigmoid,relu,relu,,,70,550,42,random,lambda,0.00041270172277807564,huber_loss,40,5,80,3,20,16,64,,,RMSprop,76
175,COMPLETE,0.68302293,sigmoid,relu,relu,,,76,640,35,random,lambda,0.001459277246877326,huber_loss,40,5,40,3,20,10,60,,,RMSprop,82
176,COMPLETE,0.3243257,sigmoid,relu,relu,,,74,670,33,random,lambda,0.0007447062382531423,mse_loss,40,5,40,3,18,12,60,,,RMSprop,73
177,COMPLETE,0.60972091,sigmoid,tanh,relu,,,78,640,37,random,lambda,0.0010847197484868886,huber_loss,40,5,40,3,16,10,64,,,RMSprop,78
178,COMPLETE,0.31531602,sigmoid,relu,relu,,,72,620,35,random,lambda,0.00058948514796765,huber_loss,40,5,30,3,20,14,58,,,RMSprop,83
179,COMPLETE,0.51846283,sigmoid,relu,relu,,,74,720,41,random,lambda,0.0020954759753193525,huber_loss,50,5,20,3,18,10,60,,,RMSprop,81
180,COMPLETE,0.11536902,sigmoid,relu,relu,,,68,510,32,random,lambda,0.0004969246150199209,huber_loss,40,5,30,3,30,8,62,,,RMSprop,48
181,COMPLETE,0.50805849,sigmoid,tanh,relu,,,80,650,34,random,lambda,0.0011002328245980797,huber_loss,40,5,40,3,16,10,64,,,RMSprop,78
182,COMPLETE,0.47973373,sigmoid,tanh,relu,,,78,640,36,random,lambda,0.0009386108795763978,huber_loss,40,5,50,3,36,12,64,,,RMSprop,79
