Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
fab479,2024-03-28 17-23,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.8559,540,26,0.000874345,3,168,mse_loss,1,0.1538,0.0004,0.8814,0.0044,0.0194,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(74, ReLU()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 19}",19
4a7598,2024-03-28 17-24,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.7858,540,26,0.000874345,3,168,mse_loss,1,0.1327,0.0007,0.8267,0.0066,0.0381,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(74, ReLU()), (56, Tanh()), (38, Tanh())], 'last_activation': 'lambda'}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 19}",19
76422a,2024-03-28 17-26,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.7462,540,26,0.000874345,3,158,mse_loss,1,0.0673,0.0008,0.8232,0.0078,100000,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 60}",60
20e8e3,2024-03-28 17-27,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.7634,540,26,0.000874345,3,158,mse_loss,1,0.1287,0.0007,0.854,0.0073,100000,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 20}",20
71696b,2024-03-28 17-31,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.8992,540,26,0.000874345,3,158,mse_loss,1,0.0708,0.0003,0.9022,0.0031,0.0181,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 19}",19
7eb7f6f2,2024-03-28 17-35,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.8908,540,26,0.000874345,3,158,mse_loss,1,0.0981,0.0003,0.904,0.0034,0.0193,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 10009}",10009
52c4981c,2024-03-28 17-36,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.849,540,26,0.000874345,3,158,mse_loss,1,0.1057,0.0005,0.8912,0.0046,0.017,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 9}",9
129dd2e8,2024-03-28 17-37,100,MULTIVARIATE_1254,GMM,k-means++ C10 ,GMM + NN,0.6449,540,26,0.000874345,3,158,mse_loss,1,0.0679,0.0011,0.8441,0.0109,0.0394,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 42}",42
62f577d3,2024-03-28 17-43,100,MULTIVARIATE_1254,,None,KNN,0.7217,,,,,,,1,0.1238,0.0009,0.7326,60.6592,0.162,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'k1': 1.0494451711015031, 'kn': 23}",,42
eef66e17,2024-04-03 17-54,100,exponential 0.6,GMM,k-means++ C10 ,GMM + NN,0.8399,540,26,0.000874345,3,158,mse_loss,1,0.6347,0.0261,0.8626,0.0833,100000,Experiment  C10 S150,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]","{'dropout': 0.0, 'hidden_layer': [(64, Tanh()), (56, Tanh()), (38, Tanh())], 'last_activation': None}","{'n_components': 10, 'n_init': 100, 'max_iter': 80, 'init_params': 'k-means++', 'random_state': 42}",42
